"Time (s)","Amplitude (a.u.)"
3.598326360E-3,6.947051984E-1
3.619246862E-3,1.251888225E-1
3.640167364E-3,-5.025877857E-1
3.661087866E-3,-8.893624547E-1
3.682008368E-3,-8.471638751E-1
3.702928870E-3,-3.935792158E-1
3.723849372E-3,2.517671936E-1
3.744769874E-3,7.710029009E-1
3.765690377E-3,9.043919239E-1
3.786610879E-3,5.825721829E-1
3.807531381E-3,-3.371781318E-2
3.828451883E-3,-6.306706841E-1
3.849372385E-3,-9.000940952E-1
3.870292887E-3,-7.001698688E-1
3.891213389E-3,-1.336840419E-1
3.912133891E-3,5.011124711E-1
3.933054393E-3,8.657039310E-1
3.953974895E-3,7.628776769E-1
3.974895397E-3,2.468055398E-1
3.995815900E-3,-4.015118406E-1
4.016736402E-3,-8.249013101E-1
4.037656904E-3,-7.873869779E-1
4.058577406E-3,-3.089651475E-1
4.079497908E-3,3.408968715E-1
4.100418410E-3,7.923583819E-1
4.121338912E-3,7.860150825E-1
4.142259414E-3,3.251454319E-1
4.163179916E-3,-3.217117720E-1
4.184100418E-3,-7.744026923E-1
4.205020921E-3,-7.648584947E-1
4.225941423E-3,-2.991099870E-1
4.246861925E-3,3.421750229E-1
4.267782427E-3,7.700370006E-1
4.288702929E-3,7.236212463E-1
4.309623431E-3,2.327088580E-1
4.330543933E-3,-3.969791096E-1
4.351464435E-3,-7.716333873E-1
4.372384937E-3,-6.565744699E-1
4.393305439E-3,-1.270904760E-1
4.414225941E-3,4.764583338E-1
4.435146444E-3,7.654051532E-1
4.456066946E-3,5.546940858E-1
4.476987448E-3,-1.438366757E-2
4.497907950E-3,-5.648100630E-1
4.518828452E-3,-7.324411839E-1
4.539748954E-3,-4.094531485E-1
4.560669456E-3,1.818550893E-1
4.581589958E-3,6.385363691E-1
4.602510460E-3,6.516377577E-1
4.623430962E-3,2.187596015E-1
4.644351464E-3,-3.542637646E-1
4.665271967E-3,-6.670443006E-1
4.686192469E-3,-5.060702346E-1
4.707112971E-3,5.179881101E-3
4.728033473E-3,4.963713900E-1
4.748953975E-3,6.180370554E-1
4.769874477E-3,2.937699111E-1
4.790794979E-3,-2.278990948E-1
4.811715481E-3,-5.610604995E-1
4.832635983E-3,-4.702522767E-1
4.853556485E-3,-4.229076581E-2
4.874476987E-3,3.880130583E-1
4.895397490E-3,5.003280154E-1
4.916317992E-3,2.348000154E-1
4.937238494E-3,-1.719019772E-1
4.958158996E-3,-3.888329783E-1
4.979079498E-3,-2.690911918E-1
5.000000000E-3,-1.449645499E-10
